"species","lon","lat","year","source"
NA,-109.0554,47.956,2022,"CASC"
NA,-108.58961,47.10481,2022,"CASC"
NA,-112.56786,45.46741,2021,"CASC"
NA,-108.58961,47.10481,2022,"CASC"
NA,-108.58961,47.10481,2022,"CASC"
NA,-106.77652,48.63437,2022,"CASC"
NA,-98.365548,26.176237,2025,"iNaturalist"
NA,-83.819,35.717,2003,"Centre for Biodiversity Genomics"
NA,-96.685684,32.857048,2025,"iNaturalist"
NA,-102.399418,30.144747,2017,"iNaturalist"
NA,-98.380608,26.185678,2023,"iNaturalist"
NA,-98.379444,26.185498,2024,"iNaturalist"
NA,-98.107118,26.199673,2024,"iNaturalist"
NA,-110.9418,32.23774,2011,"CASC"
NA,-108.43033,45.00747,2021,"CASC"
NA,-111.5978,46.23157,2021,"CASC"
NA,-97.798894,30.454593,2024,"iNaturalist"
NA,-98.1464,26.0696,1973,"Smithsonian Institution, National Museum of Natural History"
NA,-103.8879,30.5933,1973,"Smithsonian Institution, National Museum of Natural History"
NA,-118.88542,34.04593,1993,"SBMNH"
NA,-119.74389,34.46382,2014,"SBMNH"
NA,-119.74389,34.46382,2014,"SBMNH"
NA,-119.74389,34.46382,2003,"SBMNH"
NA,-119.74389,34.46382,2009,"SBMNH"
NA,-119.74389,34.46382,2015,"SBMNH"
NA,-118.88542,34.04593,1992,"SBMNH"
NA,-118.88542,34.04593,1993,"SBMNH"
NA,-118.88542,34.04593,1992,"SBMNH"
NA,-119.74389,34.46382,2009,"SBMNH"
NA,-119.74389,34.46382,2012,"SBMNH"
NA,-118.88542,34.04593,1991,"SBMNH"
NA,-118.88542,34.04593,1998,"SBMNH"
NA,-118.88542,34.04593,1992,"SBMNH"
NA,-119.74389,34.46382,2010,"SBMNH"
NA,-119.74389,34.46382,2013,"SBMNH"
NA,-118.88542,34.04593,1992,"SBMNH"
NA,-119.74389,34.46382,1999,"SBMNH"
NA,-119.74389,34.46382,2000,"SBMNH"
NA,-119.74389,34.46382,2015,"SBMNH"
NA,-119.74389,34.46382,2012,"SBMNH"
NA,-118.88542,34.04593,1992,"SBMNH"
NA,-111.5388,31.7626,2021,"CASC"
NA,-104.610652,38.284972,2018,"iNaturalist"
NA,-108.42797,45.01333,2021,"CASC"
NA,-95.419642,29.042732,2021,"iNaturalist"
NA,-88.26,40.11,2010,""
NA,-119.182107,35.534022,2018,"iNaturalist"
NA,-121.278494,36.694117,2020,"iNaturalist"
NA,-94.765908,30.098237,2020,"iNaturalist"
NA,-121.953857,36.993824,1991,"UCSC"
NA,-121.953857,36.993824,1991,"UCSC"
NA,-121.953857,36.993824,1994,"UCSC"
NA,-97.547204,30.350001,2019,"iNaturalist"
NA,-97.75161,30.265036,2012,"LEPSOC"
NA,-95.434386,29.033858,2016,"LEPSOC"
NA,-94.815908,30.004966,2012,"LEPSOC"
NA,-122.212385,39.524325,2015,"LEPSOC"
NA,-97.320849,32.542082,2013,"LEPSOC"
NA,-99.712554,29.495232,2014,"LEPSOC"
NA,-100.012291,29.669392,2013,"LEPSOC"
NA,-98.123064,26.183685,2013,"LEPSOC"
NA,-119.694314,37.128282,2009,"LEPSOC"
NA,-93.591944,32.479722,1996,"MISSA"
NA,-88.818387,33.4504,1984,"MISSA"
NA,-93.588889,32.488611,1996,"MISSA"
NA,-90.874752,32.332239,1985,"MISSA"
NA,-90.3217,32.3417,1996,"MISSA"
NA,-87.469444,31.723056,1995,"MISSA"
NA,-90.874752,32.332239,1982,"MISSA"
NA,-93.591944,32.479722,1996,"MISSA"
NA,-90.874752,32.332239,1988,"MISSA"
NA,-89.189067,31.05665,1997,"MISSA"
NA,-90.874752,32.332239,1982,"MISSA"
NA,-88.818387,33.4504,1984,"MISSA"
NA,-90.874752,32.332239,2001,"MISSA"
NA,-90.874752,32.332239,1988,"MISSA"
NA,-93.593333,32.479722,1996,"MISSA"
NA,-90.3217,32.3417,1971,"MISSA"
NA,-90.874752,32.332239,1978,"MISSA"
NA,-90.874752,32.332239,1989,"MISSA"
NA,-90.874752,32.332239,1988,"MISSA"
NA,-93.585278,32.491389,1996,"MISSA"
NA,-88.61104,33.29639,1993,"MISSA"
NA,-88.818387,33.4504,1984,"MISSA"
NA,-88.788893,33.453881,1975,"MISSA"
NA,-98.069601,30.29952,2019,"iNaturalist"
NA,-95.419511,29.042716,2019,"iNaturalist"
NA,-97.647853,30.233839,2019,"iNaturalist"
NA,-88.818387,33.4504,1984,"MISSA"
NA,-106.77778,32.31222,2013,"NMSU"
NA,-106.77778,32.31222,2012,"NMSU"
NA,-104.521651,33.383373,1974,"NMSU"
NA,-120.998815,37.257717,1970,"NMSU"
NA,-106.778337,32.312316,2012,"NMSU"
NA,-97.826977,30.244883,2018,"iNaturalist"
NA,-97.826983,30.244811,2018,"iNaturalist"
NA,-97.384014,30.349869,2018,"iNaturalist"
NA,-95.419722,29.0425,2017,"iNaturalist"
NA,-95.419722,29.0425,2016,"iNaturalist"
NA,-95.419722,29.0425,2016,"iNaturalist"
NA,-86.790494,33.411647,2016,"iNaturalist"
NA,-109.05,28.54,2002,"FCBA-UCOL"
NA,-122.27644,37.8718,1984,"EMEC"
