"full.name","PA","run","algo","metric.eval","cutoff","sensitivity","specificity","calibration","validation","evaluation"
"Amyelois.transitella_allData_allRun_CTA","allData","allRun","CTA","TSS",13,76.596,91.509,0.681,NA,NA
"Amyelois.transitella_allData_allRun_CTA","allData","allRun","CTA","AUCroc",10.5,76.596,91.509,0.871,NA,NA
"Amyelois.transitella_allData_allRun_CTA","allData","allRun","CTA","KAPPA",487,23.404,99.96,0.364,NA,NA
"Amyelois.transitella_allData_allRun_ANN","allData","allRun","ANN","TSS",14,17.021,99.356,0.305,NA,NA
"Amyelois.transitella_allData_allRun_ANN","allData","allRun","ANN","AUCroc",7.5,74.468,79.537,0.813,NA,NA
"Amyelois.transitella_allData_allRun_ANN","allData","allRun","ANN","KAPPA",115,17.021,99.698,0.224,NA,NA
"Amyelois.transitella_allData_allRun_FDA","allData","allRun","FDA","TSS",7,53.191,95.835,0.571,NA,NA
"Amyelois.transitella_allData_allRun_FDA","allData","allRun","FDA","AUCroc",5.5,70.213,93.803,0.827,NA,NA
"Amyelois.transitella_allData_allRun_FDA","allData","allRun","FDA","KAPPA",200,29.787,99.095,0.27,NA,NA
"Amyelois.transitella_allData_allRun_GAM","allData","allRun","GAM","TSS",5,95.745,79.316,0.734,NA,NA
"Amyelois.transitella_allData_allRun_GAM","allData","allRun","GAM","AUCroc",7.5,91.489,82.193,0.948,NA,NA
"Amyelois.transitella_allData_allRun_GAM","allData","allRun","GAM","KAPPA",159,51.064,99.276,0.449,NA,NA
"Amyelois.transitella_allData_allRun_GBM","allData","allRun","GBM","TSS",21,95.745,96.137,0.938,NA,NA
"Amyelois.transitella_allData_allRun_GBM","allData","allRun","GBM","AUCroc",20.5,97.872,95.915,0.996,NA,NA
"Amyelois.transitella_allData_allRun_GBM","allData","allRun","GBM","KAPPA",131,80.851,99.799,0.798,NA,NA
"Amyelois.transitella_allData_allRun_MARS","allData","allRun","MARS","TSS",8,80.851,88.35,0.7,NA,NA
"Amyelois.transitella_allData_allRun_MARS","allData","allRun","MARS","AUCroc",7.5,82.979,87.062,0.892,NA,NA
"Amyelois.transitella_allData_allRun_MARS","allData","allRun","MARS","KAPPA",277,29.787,99.859,0.408,NA,NA
"Amyelois.transitella_allData_allRun_MAXNET","allData","allRun","MAXNET","TSS",147,93.617,77.827,0.734,NA,NA
"Amyelois.transitella_allData_allRun_MAXNET","allData","allRun","MAXNET","AUCroc",234.5,85.106,85.191,0.938,NA,NA
"Amyelois.transitella_allData_allRun_MAXNET","allData","allRun","MAXNET","KAPPA",725,44.681,99.336,0.406,NA,NA
"Amyelois.transitella_allData_allRun_RF","allData","allRun","RF","TSS",281,100,100,1,NA,NA
"Amyelois.transitella_allData_allRun_RF","allData","allRun","RF","AUCroc",280,100,100,1,NA,NA
"Amyelois.transitella_allData_allRun_RF","allData","allRun","RF","KAPPA",281,100,100,1,NA,NA
"Amyelois.transitella_allData_allRun_SRE","allData","allRun","SRE","TSS",505,65.957,86.318,0.523,NA,NA
"Amyelois.transitella_allData_allRun_SRE","allData","allRun","SRE","AUCroc",500,65.957,86.318,0.761,NA,NA
"Amyelois.transitella_allData_allRun_SRE","allData","allRun","SRE","KAPPA",505,65.957,86.318,0.065,NA,NA
"Amyelois.transitella_allData_allRun_XGBOOST","allData","allRun","XGBOOST","TSS",9,87.234,82.193,0.776,NA,NA
"Amyelois.transitella_allData_allRun_XGBOOST","allData","allRun","XGBOOST","AUCroc",8,97.872,79.678,0.943,NA,NA
"Amyelois.transitella_allData_allRun_XGBOOST","allData","allRun","XGBOOST","KAPPA",84,53.191,97.787,0.265,NA,NA
"Amyelois.transitella_PA1_RUN1_CTA","PA1","RUN1","CTA","TSS",366,97.143,84.861,0.82,0,NA
"Amyelois.transitella_PA1_RUN1_CTA","PA1","RUN1","CTA","AUCroc",364,97.143,84.861,0.939,0.5,NA
"Amyelois.transitella_PA1_RUN1_CTA","PA1","RUN1","CTA","KAPPA",799.5,68.571,94.542,0.4,0,NA
"Amyelois.transitella_PA1_RUN1_ANN","PA1","RUN1","ANN","TSS",638,77.143,89.598,0.667,-0.055,NA
"Amyelois.transitella_PA1_RUN1_ANN","PA1","RUN1","ANN","AUCroc",635.5,77.143,89.598,0.869,0.595,NA
"Amyelois.transitella_PA1_RUN1_ANN","PA1","RUN1","ANN","KAPPA",850,42.857,98.558,0.451,-0.047,NA
"Amyelois.transitella_PA1_RUN1_FDA","PA1","RUN1","FDA","TSS",509,74.286,93.924,0.682,0.267,NA
"Amyelois.transitella_PA1_RUN1_FDA","PA1","RUN1","FDA","AUCroc",336.5,82.857,81.565,0.92,0.573,NA
"Amyelois.transitella_PA1_RUN1_FDA","PA1","RUN1","FDA","KAPPA",591,68.571,95.881,0.461,0.178,NA
"Amyelois.transitella_PA1_RUN1_GAM","PA1","RUN1","GAM","TSS",722,100,96.807,0.968,0.204,NA
"Amyelois.transitella_PA1_RUN1_GAM","PA1","RUN1","GAM","AUCroc",723.5,100,96.807,0.988,0.739,NA
"Amyelois.transitella_PA1_RUN1_GAM","PA1","RUN1","GAM","KAPPA",838,88.571,97.734,0.692,0.286,NA
"Amyelois.transitella_PA1_RUN1_GBM","PA1","RUN1","GBM","TSS",505,100,97.528,0.974,0.612,NA
"Amyelois.transitella_PA1_RUN1_GBM","PA1","RUN1","GBM","AUCroc",507.5,100,97.528,0.992,0.723,NA
"Amyelois.transitella_PA1_RUN1_GBM","PA1","RUN1","GBM","KAPPA",723.5,74.286,99.176,0.745,0.647,NA
"Amyelois.transitella_PA1_RUN1_MARS","PA1","RUN1","MARS","TSS",282,100,83.007,0.83,0.026,NA
"Amyelois.transitella_PA1_RUN1_MARS","PA1","RUN1","MARS","AUCroc",504,91.429,87.951,0.961,0.649,NA
"Amyelois.transitella_PA1_RUN1_MARS","PA1","RUN1","MARS","KAPPA",781,77.143,96.189,0.524,0.281,NA
"Amyelois.transitella_PA1_RUN1_MAXNET","PA1","RUN1","MAXNET","TSS",377,85.714,90.834,0.765,-0.112,NA
"Amyelois.transitella_PA1_RUN1_MAXNET","PA1","RUN1","MAXNET","AUCroc",380.5,85.714,91.349,0.946,0.708,NA
"Amyelois.transitella_PA1_RUN1_MAXNET","PA1","RUN1","MAXNET","KAPPA",647,48.571,98.867,0.516,0.423,NA
"Amyelois.transitella_PA1_RUN1_RF","PA1","RUN1","RF","TSS",367.5,100,99.794,0.998,0.19,NA
"Amyelois.transitella_PA1_RUN1_RF","PA1","RUN1","RF","AUCroc",365,100,99.794,1,0.677,NA
"Amyelois.transitella_PA1_RUN1_RF","PA1","RUN1","RF","KAPPA",367.5,100,99.794,0.971,0.177,NA
"Amyelois.transitella_PA1_RUN1_SRE","PA1","RUN1","SRE","TSS",505,74.286,86.509,0.608,0.598,NA
"Amyelois.transitella_PA1_RUN1_SRE","PA1","RUN1","SRE","AUCroc",500,74.286,86.509,0.804,0.799,NA
"Amyelois.transitella_PA1_RUN1_SRE","PA1","RUN1","SRE","KAPPA",505,74.286,86.509,0.227,0.628,NA
"Amyelois.transitella_PA1_RUN1_XGBOOST","PA1","RUN1","XGBOOST","TSS",414.5,100,88.363,0.884,0.474,NA
"Amyelois.transitella_PA1_RUN1_XGBOOST","PA1","RUN1","XGBOOST","AUCroc",657.5,91.429,93.409,0.969,0.716,NA
"Amyelois.transitella_PA1_RUN1_XGBOOST","PA1","RUN1","XGBOOST","KAPPA",794.5,68.571,96.91,0.519,0.423,NA
"Amyelois.transitella_PA1_RUN2_CTA","PA1","RUN2","CTA","TSS",397.5,97.222,87.073,0.843,0.061,NA
